Site,Level,Date
AFM Creek,36.4,5/16/2023
AFM Creek,24.3,5/23/2023
AFM Creek  ,4.1,6/6/2023
AFM Creek  ,2.0,6/13/2023
AFM Gulf,20.3,5/16/2023
AFM Gulf,149.7,5/23/2023
AFM Gulf,,5/30/2023
AFM Gulf,1011.2,6/6/2023
AFM Gulf,38.3,6/13/2023
Goose Point North,74.8,5/18/2023
Goose Point North,81.2,5/25/2023
Goose Point North,25.6,6/1/2023
Goose Point North,9.1,6/8/2023
Goose Point North,111.2,6/15/2023
Goose Point South,25.7,5/18/2023
Goose Point South,81.2,5/25/2023
Goose Point South,18.1,6/1/2023
Goose Point South,14.9,6/8/2023
Goose Point South,1011.2,6/15/2023
Lincoln Point Marina,6.3,5/18/2023
Lincoln Point Marina,5.2,5/25/2023
Lincoln Point Marina,1.0,6/1/2023
Lincoln Point Marina,1,6/8/2023
Lincoln Point Marina,5.2,6/15/2023
Lindon Marina,2.0,5/16/2023
Lindon Marina,9.6,5/23/2023
Lindon Marina,0.0,5/30/2023
Lindon Marina,3.1,6/13/2023
Lindon Marina ,2.0,6/6/2023
Mulberry Beach,4.1,5/18/2023
Mulberry Beach,1,5/25/2023
Mulberry Beach,4.1,6/1/2023
Mulberry Beach,2,6/8/2023
Mulberry Beach,17.1,6/15/2023
Pelican Bay,21.8,5/16/2023
Pelican Bay,3.1,5/23/2023
Pelican Bay,0.0,5/30/2023
Pelican Bay,2.0,6/6/2023
Pelican Bay,0.0,6/13/2023
RV Camp,11.0,5/16/2023
RV Camp,23.1,5/23/2023
RV Camp,56.8,5/30/2023
RV Camp,111.2,6/6/2023
RV Camp,13.2,6/13/2023
Sandy Beach Bay,316.9,5/18/2023
Sandy Beach Bay,34.5,5/25/2023
Sandy Beach Bay,59.1,6/1/2023
Sandy Beach Bay,86.3,6/8/2023
Sandy Beach Bay,1011.2,6/15/2023
Sandy Beach Inlet,78.2,5/18/2023
Sandy Beach Inlet,34.5,5/25/2023
Sandy Beach Inlet,52.9,6/1/2023
Sandy Beach Inlet,71.0,6/8/2023
Sandy Beach Inlet,601.5,6/15/2023
Shoreline Trail,101.4,5/16/2023
Shoreline Trail,32.4,5/23/2023
Shoreline Trail,50.4,5/30/2023
Shoreline Trail,960.6,6/6/2023
Shoreline Trail,829.7,6/13/2023
