Closest site,Farm Name,Distance (mi)
AFM Creek,Oliver's Place,1.84
AFM Creek,Blackhurst Farm,1.04
AFM Creek,Bushman Cattle Farm,2.83
AFM Creek,Chaston Livestock,2.76
AFM Creek,Cox Farm and Ranch,2.79
Goose Point South,Beere Cattle Company,5.44
Goose Point South,Circle C Dairy,7
Goose Point South,Rockin E,6.24
Goose Point South,Wilson Brother's Cattle,6.86
Goose Point South,Galt Farms,8.25
Lincoln Point Marina,Galt Farms,5.42
Lincoln Point Marina,The Goodbye Lane,5.15
Lincoln Point Marina,Wilson Brother's Cattle,5.51
Lincoln Point Marina,Thunder Rose Ranch,6.64
Lincoln Point Marina,Beere Cattle Company,4.75
Lindon Marina,Oliver's Place,4.24
Lindon Marina,Bunnell Farms,4.02
Lindon Marina,Blackhurst Farm,6.52
Lindon Marina,Clifford Family Farms,4.69
Lindon Marina,Cherry Hill,3.31
Mulberry Beach,The Goodbye Lane,7.28
Mulberry Beach,Galt Farms,7.23
Mulberry Beach,Wilson Brother's Cattle,6.73
Mulberry Beach,Beere Cattle Company,5.6
Mulberry Beach,Thunder Rose Ranch,8.77
Pelican Bay,Christiansen's Family Farm,8
Pelican Bay,Millbrook Farms,7.1
Pelican Bay,Chaston Livestock,5.23
Pelican Bay,Cox Farm and Ranch,5.86
Pelican Bay,Bushman Cattle Farm,6.15
Sandy Beach Bay,The Goodbye Lane,1.8
Sandy Beach Bay,Thunder Rose Ranch,3.16
Sandy Beach Bay,Jones Creek Beef,4.62
Sandy Beach Bay,Snow Dairy,6.97
Sandy Beach Bay,Utah Sheep and Cattle,6.81
