Site,Sample,Level
AFM Creek,1,36.4
AFM Gulf,1,20.3
Goose Point North,1,74.8
Goose Point South,1,25.7
Lincoln Point Marina,1,6.3
Lindon Marina,1,2
Mulberry Beach,1,4.1
Pelican Bay,1,21.8
RV Camp,1,11
Sandy Beach Bay,1,316.9
Sandy Beach Inlet,1,78.2
Shoreline Trail,1,101.4
AFM Creek,2,24.3
AFM Gulf,2,149.7
Goose Point North,2,81.2
Goose Point South,2,81.2
Lincoln Point Marina,2,5.2
Lindon Marina,2,9.6
Mulberry Beach,2,1
Pelican Bay,2,3.1
RV Camp,2,23.1
Sandy Beach Bay,2,34.5
Sandy Beach Inlet,2,34.5
Shoreline Trail,2,32.4
AFM Creek,3,4.1
AFM Gulf,3,NA
Goose Point North,3,25.6
Goose Point South,3,18.1
Lincoln Point Marina,3,1
Lindon Marina,3,0
Mulberry Beach,3,4.1
Pelican Bay,3,0
RV Camp,3,56.8
Sandy Beach Bay,3,59.1
Sandy Beach Inlet,3,52.9
Shoreline Trail,3,50.4
AFM Creek,4,2
AFM Gulf,4,1011.2
Goose Point North,4,9.1
Goose Point South,4,14.9
Lincoln Point Marina,4,1
Lindon Marina,4,3.1
Mulberry Beach,4,2
Pelican Bay,4,2
RV Camp,4,111.2
Sandy Beach Bay,4,86.3
Sandy Beach Inlet,4,71
Shoreline Trail,4,960.6
AFM Creek,5,NA
AFM Gulf,5,38.3
Goose Point North,5,111.2
Goose Point South,5,1011.2
Lincoln Point Marina,5,5.2
Lindon Marina,5,2
Mulberry Beach,5,17.1
Pelican Bay,5,0
RV Camp,5,13.2
Sandy Beach Bay,5,1011.2
Sandy Beach Inlet,5,601.5
Shoreline Trail,5,829.7
